iso3,mys_f_1990,mys_f_1991,mys_f_1992,mys_f_1993,mys_f_1994,mys_f_1995,mys_f_1996,mys_f_1997,mys_f_1998,mys_f_1999,mys_f_2000,mys_f_2001,mys_f_2002,mys_f_2003,mys_f_2004,mys_f_2005,mys_f_2006,mys_f_2007,mys_f_2008,mys_f_2009,mys_f_2010,mys_f_2011,mys_f_2012,mys_f_2013,mys_f_2014
AZE,,,,,,9.416836766,9.496232702,9.576298047,9.657038445,9.738459587,9.821963429,9.905467272,9.988971114,10.07247496,10.1559788,10.23948264,10.32298648,10.40649033,10.42187977,10.1292696,10.15892029,10.16166973,10.16228008,10.16551018,10.16520977
BDI,0.822269976,0.885153866,0.948037757,1.010921647,1.073805537,1.136689428,1.199573318,1.262457209,1.325341099,1.388224989,1.45110888,1.51399277,1.57687666,1.639760551,1.702644441,1.765528331,1.828412222,1.891296112,1.954180002,1.890880009,1.827580015,1.764280021,1.700980028,1.637680034,1.57438004
BEL,9.008161203,9.160702147,9.313243092,9.465784037,9.618324982,9.770865927,9.871872769,9.972879611,10.07388645,10.17489329,10.27590014,10.37484561,10.47379109,10.57273657,10.67168205,10.77062752,10.7891798,10.83637476,10.88356972,11.04335976,11.1732502,11.23900986,11.27208996,11.35048962,11.43642998
BEN,0.768795793,0.834424702,0.900053611,0.96568252,1.031311429,1.096940339,1.162569248,1.228198157,1.293827066,1.359455975,1.425084884,1.468212453,1.511340022,1.554467591,1.59759516,1.640722729,1.698851191,1.756979653,1.815108116,1.873236578,1.931365041,2.077623752,2.223882464,2.370141176,2.516399888
BFA,,,,,,,,,,0.617334359,0.645935462,0.675861654,0.707174327,0.739937715,0.774219032,0.810088603,0.84762001,0.278259993,0.36511285,0.451965707,0.538818564,0.625671421,0.712524278,0.799377135,0.886229992
BGD,2.237444257,2.381197152,2.524950047,2.668702942,2.812455838,2.956208733,3.099961628,3.243714523,3.387467419,3.531220314,3.674973209,3.779309988,3.841801,3.904292011,3.966783023,4.029274035,4.091765046,4.154256058,4.216747069,4.279238081,4.341729093,4.404220104,4.538990021,4.367229939,4.598360062
BGR,6.606706051,6.886220161,7.177559853,7.481225438,7.784891023,8.088556608,8.392222193,8.695887778,8.999553363,9.303218948,9.606884533,9.910550117,10.00387402,10.09719791,10.19052181,10.28384571,10.37716961,10.49927998,10.55844021,10.63379002,10.73285961,10.79144001,10.91713047,11.04028988,11.11839962
BHR,4.812859676,5.024159908,5.24473691,5.465313911,5.685890913,5.906467915,6.127044916,6.347621918,6.568198919,6.788775921,7.009352922,7.229929924,7.313648807,7.397367689,7.481086572,7.564805455,7.648524337,7.73224322,7.815962103,7.899680985,7.983399868,8.142049869,8.30069987,8.459349871,8.617999872
BHS,10.05288982,10.17176981,10.2906498,10.40952978,10.52840977,10.64728975,10.76616974,10.88504972,11.00392971,11.1228097,11.24168968,11.31890774,11.39612579,11.47334385,11.5505619,11.62777996,11.70499802,11.78221607,11.85943413,11.93665218,12.01387024,12.09261327,12.17187241,12.25165104,12.33195257
BIH,,,,,,,,,,,5.164326472,5.179873829,5.195421187,5.210968544,5.226515901,5.242063259,5.257610616,5.480157954,5.702705292,5.925252631,6.147799969,6.293360233,6.879833539,7.466306845,8.052780151
BLR,,,,,,9.662980318,9.756690622,9.851309716,9.946846413,10.04330961,10.1407083,10.23905155,10.33834851,10.43860845,10.53984069,10.64205467,10.74525991,10.84946601,10.9546827,11.06091976,11.1702878,11.27965584,11.38902388,11.49839191,11.60775995
BLZ,5.387003567,5.554039955,5.726255689,5.898471424,6.070687158,6.242902892,6.415118626,6.58733436,6.759550095,6.931765829,7.103981563,7.276197297,7.448413031,7.620628766,7.7928445,7.965060234,8.470604134,8.976148033,9.481691933,9.987235832,10.49277973,10.3477088,10.20263786,10.05756693,9.912495995
BOL,5.013462195,5.125782958,5.240620136,5.358030107,5.475440078,5.592850049,5.71026002,5.827669991,5.945079962,6.062489933,6.179899904,6.297309875,6.295487881,6.293665886,6.291843891,6.290021896,6.288199902,6.404705048,6.521210194,6.781290054,7.040660063,7.300030073,7.559400082,7.886273384,8.213146687
BRA,3.795671753,3.958082707,4.120493662,4.282904617,4.445315572,4.607726527,4.771962323,4.93619812,5.100433917,5.264669714,5.428905511,5.589491624,5.750077737,5.910663849,6.071249962,6.248260021,6.425270081,6.612539768,6.791349888,6.892710209,7.044799805,7.160999775,7.381859779,7.475190163,7.576000214
BRB,8.253810395,8.399160515,8.544510635,8.689860755,8.941216373,9.192571991,9.170471663,9.148371335,9.126271007,9.104170679,9.074000359,9.186127594,9.29825483,9.410382065,9.522509301,9.634636536,9.672012282,9.709388027,9.746763772,9.784139517,9.821515262,9.858891007,9.896266753,9.933642498,9.971018243
BRN,6.72,6.898,7.076,7.254,7.432,7.61,7.682,7.754,7.826,7.898,7.97,7.996,8.022,8.048,8.074,8.1,8.176,8.252,8.328,8.404,8.48,8.582,8.684,8.786,8.888
BTN,,,,,,,,,,,,,,,,,,,,,1.495001,1.486825487,1.478649974,1.832059956,2.185469937
BWA,5.11,5.428,5.746,6.064,6.382,6.7,6.874,7.048,7.222,7.396,7.57,7.692,7.814,7.936,8.058,8.18,8.28,8.38,8.48,8.58,8.68,8.93,9.18,9.43,9.68
CAF,1.07,1.128,1.186,1.244,1.302,1.36,1.428,1.496,1.564,1.632,1.7,1.768,1.836,1.904,1.972,2.04,2.102,2.164,2.226,2.288,2.35,2.468,2.586,2.704,2.822
CAN,10.58795711,10.77036953,10.95592461,11.14147968,11.32703476,11.51258984,11.69814491,11.88369999,12.06925507,12.25481014,12.44036522,12.6259203,12.75561619,12.88531208,13.01500797,13.14470387,13.27439976,13.33102379,13.38764782,13.44427185,13.50089588,13.55751991,13.60198402,13.64644814,13.69091225
CHE,9.75533842,9.740946983,9.726555546,9.712164109,9.697772672,9.683381235,9.679269396,9.675157557,9.671045717,9.666933878,9.662822039,9.841687043,10.02055205,10.19941705,10.37828205,10.55714706,11.11224534,11.66734363,12.22244192,12.77754021,12.80630016,12.82425022,12.91300964,13.03466988,13.15633011
CHL,8.337210266,8.421723968,8.539250082,8.606988307,8.674726533,8.742464759,8.805969345,8.869473932,8.932978519,8.996483105,9.059987692,9.206048241,9.35210879,9.49816934,9.644229889,9.670116742,9.696003596,9.72189045,9.959739685,9.851214886,9.742690086,9.3937397,9.636924744,9.880109787,9.998734951
CHN,3.420896743,3.603619823,3.786342904,3.969065984,4.151789065,4.334512145,4.525611616,4.716711086,4.907810557,5.098910028,5.262839794,5.360872793,5.458905792,5.556938791,5.65497179,5.753004789,5.851037788,5.949070787,6.047103786,6.145136786,6.243169785,6.369998126,6.496826468,6.62365481,6.750483152
CIV,3.045420448,3.316124487,3.586828527,3.857532567,4.128236607,4.398940646,4.8234538,5.247966953,5.672480106,5.57439509,5.476310074,5.378225058,5.280140042,5.182055026,5.08397001,4.985884994,4.887799978,4.789714962,4.691629946,4.59354493,4.495459914,4.397374898,4.299289882,4.201204866,4.10311985
CMR,1.878901139,1.982462619,2.086024099,2.189585579,2.293147059,2.396708539,2.500270019,2.603831499,2.707392979,2.810954459,2.91451594,3.012159621,3.109803302,3.207446983,3.305090664,3.402734346,3.501857477,3.600980608,3.700103739,3.799226869,3.89835,4.035938824,4.173527647,4.311116471,4.448705295
COD,2.556471419,2.615401111,2.675689203,2.737367007,2.800466558,2.865020627,2.931062745,2.998627211,3.067749118,3.138464368,3.210809687,3.284822652,3.364112936,3.443403221,3.522693506,3.601983791,3.681274076,3.760564361,3.839854646,3.919144931,3.998435216,4.147556753,4.29667829,4.445799828,4.722119808
COG,3.12,3.298,3.476,3.654,3.832,4.01,4.164,4.318,4.472,4.626,4.78,4.808,4.836,4.864,4.892,4.92,4.916,4.912,4.908,4.904,4.9,5.022,5.144,5.266,5.388
COL,5.665461222,5.801773071,5.93808492,6.074396769,6.210708618,6.347020467,6.442864736,6.538709005,6.634553274,6.730397542,6.826241811,6.875228882,6.924215953,6.973203023,7.022190094,7.261559963,6.802609921,7.209209919,7.336639881,7.302490234,7.440090179,7.578149796,7.689129829,7.936940193,8.106329918
COM,,,,,,,,,,,2.1874,2.1874,2.2093,2.2314,2.2537,2.4275,2.6013,2.775,2.9488,3.1226,3.2964,3.4702,3.644,3.6913,3.7393
CPV,,,,,,,,,,,3.3633,3.5188,3.6744,3.8299,3.9854,4.1409,4.2964,4.4519,4.6075,4.763,4.9185,5.074,5.2295,5.385,5.5405
